"commune_id","commune_nom","commune_geom","commune_chf_lieu","commune_centroid","commune_superficie","commune_population","pays_id","pays_nom","pays_geom","pays_centroid","pays_superficie","pays_population","pays_capitale"
"AL2PJ","BORRSTADT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PK","DANNENFELS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PL","EINSELTHUM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PM","STEINBACH AM DONNERSBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PN","MORSCHHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PO","HORINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PP","BISCHHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PQ","ORBIS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PR","STETTEN (PALATINAT)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PS","BIEDESHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PT","LAUTERSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PU","GAUERSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PV","IMSWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PW","GERBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PX","WARTENBERG-ROHRBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PY","GUNDERSWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PZ","MUNSTERAPPEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P0","EISENBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P1","KIRCHHEIMBOLANDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P2","ROCKENHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P3","WINNWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P4","GOLLHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P5","BOLANDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P6","KERZENHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P7","RAMSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P8","ALSENZ","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2P9","ALBISHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20A","ROXHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20B","RUDESHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20C","WALDBOCKELHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20D","HACKENHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20E","SIMMERTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20F","WEINSHEIM (KH)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20G","WINDESHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20H","ODERNHEIM AM GLAN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20I","FEILBINGERT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20J","MONZINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20K","HOCHSTETTEN-DHAUN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20L","WALLHAUSEN (PALATINAT)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20M","FURFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20N","STAUDERNHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20O","MERXHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20P","RUMMELSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20Q","NORHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20R","SEIBERSBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20S","MEDDERSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20T","HUFFELSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL20U","HENNWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
